Timestamp,SGP30_tVOC_ppb,SGP30_CO2eq_ppm,SGP40_SRAW_VOC,SGP41_SRAW_VOC,SGP41_SRAW_NOX,Temperature_C,Humidity_%
17/10/24 - 16:51:44,25,408,33834,32275,16998,25.1575,60.8866
17/10/24 - 16:51:45,25,413,33847,32279,17007,25.1015,60.8362
17/10/24 - 16:51:46,24,409,33834,32280,17005,25.0881,60.8026
17/10/24 - 16:51:47,31,414,33843,32267,17000,25.0748,60.8408
17/10/24 - 16:51:48,24,407,33835,32277,17004,25.0881,60.8225
17/10/24 - 16:51:49,26,408,33838,32277,17008,25.1015,60.8774
17/10/24 - 16:51:50,26,414,33855,32264,16999,25.0748,60.8713
17/10/24 - 16:51:51,24,401,33846,32278,17002,25.1175,60.8301
17/10/24 - 16:51:52,17,400,33847,32279,16998,25.0454,60.7752
17/10/24 - 16:51:54,21,405,33835,32283,16997,25.1015,60.8576
17/10/24 - 16:51:55,16,400,33838,32287,16990,25.1175,60.8179
17/10/24 - 16:51:56,21,408,33831,32287,16990,25.1308,60.7996
17/10/24 - 16:51:57,24,409,33822,32276,16998,25.1015,60.8453
17/10/24 - 16:51:58,24,417,33839,32284,16994,25.0748,60.8408
17/10/24 - 16:51:59,19,409,33831,32276,16991,25.0614,60.8896
17/10/24 - 16:52:00,29,420,33826,32269,16990,25.1015,60.8774
17/10/24 - 16:52:01,32,422,33831,32271,16990,25.0614,60.8896
17/10/24 - 16:52:02,25,412,33830,32267,16984,25.1308,60.9644
17/10/24 - 16:52:04,24,414,33835,32269,16986,25.1015,60.9369
17/10/24 - 16:52:05,34,417,33835,32272,16985,25.1442,60.9674
17/10/24 - 16:52:06,29,418,33842,32272,16990,25.1175,60.9537
17/10/24 - 16:52:07,27,415,33839,32270,16983,25.1736,61.033
17/10/24 - 16:52:08,26,411,33826,32269,16981,25.1175,60.9415
17/10/24 - 16:52:09,26,407,33835,32261,16984,25.1175,60.9628
17/10/24 - 16:52:10,27,408,33831,32262,16982,25.1175,60.9323
17/10/24 - 16:52:11,30,406,33830,32264,16982,25.1175,60.9216
17/10/24 - 16:52:12,26,413,33843,32266,16979,25.1308,60.9644
17/10/24 - 16:52:14,31,409,33842,32259,16982,25.1442,60.8545
17/10/24 - 16:52:15,25,400,33839,32257,16982,25.1736,60.8682
17/10/24 - 16:52:16,30,410,33823,32266,16986,25.1015,60.8866
17/10/24 - 16:52:17,25,407,33826,32259,16977,25.1442,60.8545
17/10/24 - 16:52:18,29,411,33815,32263,16975,25.1442,60.885
17/10/24 - 16:52:19,30,408,33810,32260,16973,25.1442,60.8759
17/10/24 - 16:52:20,33,409,33815,32262,16971,25.1575,60.8866
17/10/24 - 16:52:21,29,410,33819,32267,16969,25.1442,60.9049
17/10/24 - 16:52:22,32,417,33830,32255,16971,25.1442,60.8637
17/10/24 - 16:52:24,28,408,33831,32255,16978,25.1015,60.8164
17/10/24 - 16:52:25,33,406,33822,32258,16969,25.1736,60.8591
17/10/24 - 16:52:26,29,402,33839,32249,16967,25.1442,60.8225
17/10/24 - 16:52:27,23,403,33839,32252,16971,25.1442,60.9369
17/10/24 - 16:52:28,28,402,33818,32258,16971,25.1308,60.7996
17/10/24 - 16:52:29,28,400,33807,32254,16963,25.1442,60.7813
17/10/24 - 16:52:30,30,403,33806,32259,16963,25.0748,60.8209
17/10/24 - 16:52:31,21,402,33819,32252,16963,25.1015,60.7126
17/10/24 - 16:52:32,32,401,33811,32262,16962,25.1308,60.7706
17/10/24 - 16:52:34,30,403,33810,32259,16961,25.1575,60.7218
17/10/24 - 16:52:35,28,400,33823,32259,16961,25.1015,60.6928
17/10/24 - 16:52:36,22,400,33822,32254,16954,25.1015,60.7248
17/10/24 - 16:52:37,26,403,33843,32264,16961,25.1175,60.7263
17/10/24 - 16:52:38,21,400,33835,32255,16960,25.0881,60.7721
17/10/24 - 16:52:39,26,401,33842,32259,16952,25.0614,60.676
17/10/24 - 16:52:40,26,400,33843,32251,16957,25.1015,60.7248
17/10/24 - 16:52:41,30,405,33838,32258,16959,25.0881,60.7111
17/10/24 - 16:52:42,30,407,33851,32253,16951,25.0454,60.6928
17/10/24 - 16:52:43,26,400,33847,32255,16949,25.0614,60.7172
17/10/24 - 16:52:45,25,400,33846,32255,16951,25.0614,60.7355
17/10/24 - 16:52:46,25,406,33839,32243,16956,25.0748,60.7904
17/10/24 - 16:52:47,26,400,33850,32244,16954,25.0454,60.795
