Timestamp	SGP30_tVOC_ppb	SGP30_CO2eq_ppm	SGP30_H2_raw	SGP30_Ethanol_raw	SGP30_H2	SGP30_Ethanol	SGP40_SRAW_VOC	SGP41_SRAW_VOC	SGP41_SRAW_NOX	sgp40_voc_index	sgp41_voc_index	Temperature_C	Humidity_%	FS3000_Velocity_m/s
10/12/24 - 09:43:22	6	421	55188	30422	1,03E-36	2,92E-11	33574	33105	16637	56	65	16,2333	43,714	4,58714
10/12/24 - 09:43:23	10	424	55188	30422	1,03E-36	2,92E-11	33571	33101	16643	56	66	16,22	43,6423	0,0613241
10/12/24 - 09:43:24	12	436	55188	30422	1,03E-36	2,92E-11	33586	33104	16644	56	66	16,22	43,6423	0
10/12/24 - 09:43:25	13	451	55188	30422	1,03E-36	2,92E-11	33587	33102	16643	56	66	16,2066	43,711	0
10/12/24 - 09:43:27	14	444	55188	30422	1,03E-36	2,92E-11	33571	33104	16644	57	67	16,2627	43,8209	3,95939
10/12/24 - 09:43:28	11	435	55188	30422	1,03E-36	2,92E-11	33582	33101	16659	57	67	16,2627	43,9246	0
10/12/24 - 09:43:29	11	426	55188	30422	1,03E-36	2,92E-11	33587	33101	16641	57	67	16,2467	43,8758	0
10/12/24 - 09:43:30	17	429	55188	30422	1,03E-36	2,92E-11	33582	33088	16652	58	68	16,276	43,9384	0
10/12/24 - 09:43:31	10	427	55188	30422	1,03E-36	2,92E-11	33587	33079	16655	58	69	16,2627	43,9246	0
10/12/24 - 09:43:32	13	428	55188	30422	1,03E-36	2,92E-11	33587	33068	16660	59	70	16,3455	43,9796	0
10/12/24 - 09:43:33	11	424	55188	30422	1,03E-36	2,92E-11	33586	33079	16648	59	71	16,3027	43,9628	0
10/12/24 - 09:43:34	16	436	55188	30422	1,03E-36	2,92E-11	33583	33077	16657	60	72	16,2894	43,9033	0
10/12/24 - 09:43:36	14	421	55188	30422	1,03E-36	2,92E-11	33590	33092	16656	60	72	16,2894	43,798	0
10/12/24 - 09:43:37	16	426	55188	30422	1,03E-36	2,92E-11	33595	33089	16657	61	73	16,2894	43,798	0
10/12/24 - 09:43:38	15	417	55188	30422	1,03E-36	2,92E-11	33599	33103	16659	61	73	16,3455	43,8529	0
10/12/24 - 09:43:39	13	425	55188	30422	1,03E-36	2,92E-11	33586	33112	16658	62	74	16,3321	43,7461	0
10/12/24 - 09:43:40	16	422	55188	30422	1,03E-36	2,92E-11	33595	33110	16655	62	74	16,3188	43,6637	0
10/12/24 - 09:43:41	10	411	55188	30422	1,03E-36	2,92E-11	33594	33109	16657	63	74	16,3188	43,7324	0
10/12/24 - 09:43:42	9	409	55188	30422	1,03E-36	2,92E-11	33623	33127	16657	63	74	16,3027	43,6057	0
10/12/24 - 09:43:43	10	418	55188	30422	1,03E-36	2,92E-11	33611	33127	16653	63	75	16,2894	43,5355	0
10/12/24 - 09:43:45	20	422	55188	30422	1,03E-36	2,92E-11	33618	33129	16659	64	75	16,3321	43,5492	0
10/12/24 - 09:43:46	7	415	55188	30422	1,03E-36	2,92E-11	33603	33133	16661	64	75	16,3027	43,5355	0
10/12/24 - 09:43:47	8	414	55188	30422	1,03E-36	2,92E-11	33610	33142	16665	65	75	16,276	43,4989	0
10/12/24 - 09:43:48	15	418	55188	30422	1,03E-36	2,92E-11	33635	33138	16656	65	75	16,3455	43,5279	0
10/12/24 - 09:43:49	11	419	55188	30422	1,03E-36	2,92E-11	33619	33154	16661	65	75	16,3455	43,505	0
10/12/24 - 09:43:50	9	406	55188	30422	1,03E-36	2,92E-11	33618	33153	16658	66	75	16,3455	43,4485	0
10/12/24 - 09:43:51	13	412	55188	30422	1,03E-36	2,92E-11	33635	33148	16663	66	75	16,3775	43,4852	0
10/12/24 - 09:43:52	13	410	55188	30422	1,03E-36	2,92E-11	33634	33158	16665	66	75	16,3588	43,4592	0
10/12/24 - 09:43:54	17	403	55188	30422	1,03E-36	2,92E-11	33635	33150	16668	67	75	16,3588	43,4821	0
10/12/24 - 09:43:55	9	408	55188	30422	1,03E-36	2,92E-11	33647	33150	16665	67	75	16,3455	43,505	0
10/12/24 - 09:43:56	7	411	55188	30422	1,03E-36	2,92E-11	33650	33146	16664	67	75	16,3588	43,4592	0
10/12/24 - 09:43:57	4	400	55188	30422	1,03E-36	2,92E-11	33647	33151	16664	67	76	16,3455	43,4485	0
10/12/24 - 09:43:58	11	410	55188	30422	1,03E-36	2,92E-11	33646	33158	16667	68	76	16,3775	43,3585	0
10/12/24 - 09:43:59	7	417	55188	30422	1,03E-36	2,92E-11	33651	33156	16670	68	76	16,3775	43,4501	0
10/12/24 - 09:44:00	9	408	55188	30422	1,03E-36	2,92E-11	33651	33165	16669	68	76	16,3775	43,3906	0
10/12/24 - 09:44:01	14	410	55188	30422	1,03E-36	2,92E-11	33650	33157	16666	69	76	16,3909	43,3707	0
10/12/24 - 09:44:03	7	409	55188	30422	1,03E-36	2,92E-11	33647	33176	16669	69	76	16,3775	43,3906	0
10/12/24 - 09:44:04	7	400	55188	30422	1,03E-36	2,92E-11	33662	33180	16666	69	76	16,3588	43,4134	0
10/12/24 - 09:44:05	9	403	55188	30422	1,03E-36	2,92E-11	33671	33175	16673	70	76	16,3321	43,3631	0
10/12/24 - 09:44:06	13	409	55188	30422	1,03E-36	2,92E-11	33695	33175	16664	69	76	16,4336	43,3982	0
10/12/24 - 09:44:07	3	405	55188	30422	1,03E-36	2,92E-11	33698	33181	16670	69	77	16,3775	43,3585	0
10/12/24 - 09:44:08	7	405	55188	30422	1,03E-36	2,92E-11	33683	33186	16669	69	77	16,4469	43,3524	0
10/12/24 - 09:44:09	11	404	55188	30422	1,03E-36	2,92E-11	33694	33197	16680	69	76	16,3909	43,3127	0
10/12/24 - 09:44:10	6	409	55188	30422	1,03E-36	2,92E-11	33707	33207	16674	69	76	16,4336	43,3173	0
10/12/24 - 09:44:12	7	400	55188	30422	1,03E-36	2,92E-11	33719	33201	16675	69	76	16,4202	43,27	0
10/12/24 - 09:44:13	12	404	55188	30422	1,03E-36	2,92E-11	33714	33197	16677	69	76	16,3909	43,3585	0
10/12/24 - 09:44:14	5	400	55188	30422	1,03E-36	2,92E-11	33719	33188	16670	69	77	16,4336	43,3173	0
10/12/24 - 09:44:15	9	402	55188	30422	1,03E-36	2,92E-11	33714	33204	16681	69	77	16,3909	43,2898	0
10/12/24 - 09:44:16	1	403	55188	30422	1,03E-36	2,92E-11	33719	33199	16680	69	77	16,3775	43,299	0
10/12/24 - 09:44:17	4	400	55188	30422	1,03E-36	2,92E-11	33727	33203	16678	69	77	16,4202	43,2807	0
10/12/24 - 09:44:18	8	402	55188	30422	1,03E-36	2,92E-11	33726	33212	16679	69	77	16,4336	43,2486	0
