Time,Moisture (%)
2024-12-09 14:19:01,524,96
2024-12-09 14:19:02,524,96
2024-12-09 14:19:03,524,96
2024-12-09 14:19:04,524,96
2024-12-09 14:19:05,524,96
2024-12-09 14:19:06,524,96
2024-12-09 14:19:07,524,96
2024-12-09 14:19:08,524,96
2024-12-09 14:19:09,524,96
2024-12-09 14:19:10,524,96
2024-12-09 14:19:11,524,96
2024-12-09 14:19:12,524,96
2024-12-09 14:19:13,524,96
2024-12-09 14:19:14,524,96
2024-12-09 14:19:15,524,96
2024-12-09 14:19:16,524,96
2024-12-09 14:19:17,524,96
2024-12-09 14:19:18,524,96
2024-12-09 14:19:19,524,96
2024-12-09 14:19:20,524,96
2024-12-09 14:19:21,524,96
2024-12-09 14:19:22,524,96
2024-12-09 14:19:23,525,96
2024-12-09 14:19:24,524,96
2024-12-09 14:19:25,524,96
2024-12-09 14:19:26,524,96
2024-12-09 14:19:27,524,96
2024-12-09 14:19:28,524,96
2024-12-09 14:19:29,524,96
2024-12-09 14:19:30,523,97
2024-12-09 14:19:31,524,96
2024-12-09 14:19:32,524,96
2024-12-09 14:19:33,524,96
2024-12-09 14:19:34,525,96
2024-12-09 14:19:35,524,96
2024-12-09 14:19:36,525,96
2024-12-09 14:19:38,525,96
2024-12-09 14:19:39,525,96
2024-12-09 14:19:40,525,96
2024-12-09 14:19:41,525,96
2024-12-09 14:19:42,525,96
2024-12-09 14:19:43,525,96
2024-12-09 14:19:44,525,96
2024-12-09 14:19:45,525,96
2024-12-09 14:19:46,525,96
2024-12-09 14:19:47,525,96
2024-12-09 14:19:48,526,95
2024-12-09 14:19:49,525,96
2024-12-09 14:19:50,526,95
2024-12-09 14:19:51,525,96
2024-12-09 14:19:52,526,95
2024-12-09 14:19:53,526,95
2024-12-09 14:19:54,525,96
2024-12-09 14:19:55,525,96
2024-12-09 14:19:56,526,95
2024-12-09 14:19:57,526,95
2024-12-09 14:19:58,526,95
2024-12-09 14:19:59,526,95
2024-12-09 14:20:00,526,95
2024-12-09 14:20:01,526,95
2024-12-09 14:20:02,526,95
2024-12-09 14:20:03,526,95
2024-12-09 14:20:04,526,95
2024-12-09 14:20:05,526,95
2024-12-09 14:20:06,526,95
2024-12-09 14:20:07,526,95
2024-12-09 14:20:08,526,95
2024-12-09 14:20:09,526,95
2024-12-09 14:20:10,526,95
2024-12-09 14:20:11,526,95
2024-12-09 14:20:12,526,95
2024-12-09 14:20:13,526,95
2024-12-09 14:20:14,526,95
2024-12-09 14:20:15,526,95
2024-12-09 14:20:16,526,95
2024-12-09 14:20:17,526,95
2024-12-09 14:20:18,526,95
2024-12-09 14:20:19,526,95
2024-12-09 14:20:20,526,95
2024-12-09 14:20:21,526,95
2024-12-09 14:20:22,526,95
2024-12-09 14:20:23,526,95
2024-12-09 14:20:24,526,95
2024-12-09 14:20:25,526,95
2024-12-09 14:20:26,527,95
2024-12-09 14:20:27,526,95
2024-12-09 14:20:28,526,95
2024-12-09 14:20:29,526,95
2024-12-09 14:20:30,527,95
2024-12-09 14:20:31,526,95
2024-12-09 14:20:32,527,95
2024-12-09 14:20:33,527,95
2024-12-09 14:20:34,526,95
2024-12-09 14:20:35,526,95
2024-12-09 14:20:36,526,95
2024-12-09 14:20:37,526,95
2024-12-09 14:20:38,526,95
2024-12-09 14:20:39,527,95
2024-12-09 14:20:40,527,95
2024-12-09 14:20:41,527,95
2024-12-09 14:20:42,527,95
2024-12-09 14:20:43,526,95
2024-12-09 14:20:44,526,95
2024-12-09 14:20:45,527,95
2024-12-09 14:20:46,526,95
2024-12-09 14:20:47,527,95
2024-12-09 14:20:48,526,95
2024-12-09 14:20:49,527,95
2024-12-09 14:20:50,526,95
2024-12-09 14:20:51,527,95
2024-12-09 14:20:52,527,95
2024-12-09 14:20:53,526,95
2024-12-09 14:20:54,527,95
2024-12-09 14:20:55,526,95
2024-12-09 14:20:56,527,95
2024-12-09 14:20:57,527,95
